datetime,info,latitude,longitude
2004,IED CF Other 1 CF WIA,"32,61000061","65,86860657"
2004,(EXPLOSIVE HAZARD) IED EXPLOSION RPT  (Command Wire IED (CMIED)) OTHER : 0 INJ/DAM,"32,13249969","68,5450058"
2004,IED  Other,"31,90416908","68,37165833"
2004,IED CIV Other 2 CIV WIA,"33,72888947","68,90028381"
2004,IED CF Other 2 CF WIA,"32,64056015","67,1213913"
2004,IED CIV Other 1 CIV WIA,"33,51305008","68,41333008"
2004,IED CF CIV Other 2 CF KIA 1 CF WIA 1 CIV KIA,"32,66249084","67,70139313"
2004,IED  Other,"32,91833115","69,3208313"
2004,IED CF Other 1 CF WIA,"32,58026886","67,05249786"
2004,IED  Other,"33,53305054","69,04972839"
2004,IED  Other,"31,61639023","65,83556366"
2004,IED  Other,"32,91999817","66,03028107"
2004,IED  Other,"33,29582977","66,67360687"
2004,IED  Other,"32,93611145","66,6847229"
2004,IED  Other,"32,95832825","66,64111328"
2004,IED ANP Other 7ANP WIA,"32,3713913","62,16110992"
2004,(EXPLOSIVE HAZARD) IED EXPLOSION RPT  (UNK) CTF THUNDER : 3 UE DET ,"34,42889023","70,9597168"
2004,DRUID Explosive Hazard Report Migrated,"34,42889404","70,9597168"
2004,IED  Other,"34,27249908","70,53749847"
2004,IED  Other,"34,52361679","65,25695038"
2004,IED CIV Other 9 CIV KIA 1 CIV WIA,"33,48332977","69,05166626"
2004,IED CIV Other 8 CIV KIA 3 CIV WIA,"34,52999878","69,18110657"
2004,IED CF Other 1 CF WIA,"33,09360886","68,80387878"
2004,IED CF Other 2 CF WIA,"33,37833023","69,38249207"
2004,IED CF CIV Other 1 CF WIA 1 CIV KIA 5 CIV WIA,"31,61750031","65,73555756"
2004,IED  Other,"33,39805984","68,33970642"
2004,IED  Other,"31,53693962","65,47611237"
2004,IED CIV Other 2 CIV WIA,"32,64250183","65,54804993"
2004,IED  Other,"34,2930603","70,18305969"
